# CUDA_PROFILE_LOG_VERSION 1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CUDA_DEVICE 0 Tesla C1060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CUDA_PROFILE_CSV 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
timestamp,method,gputime,cputime,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,occupancy,streamID,local_load,local_store,divergent_branch,branch,memTransferSize,memTransferDir,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,gld_32b,gld_64b,gld_128b,instructions,gst_32b,gst_64b,gst_128b,warp_serialize,cta_launched
40077.336,_Z15dilateImageCUDAPhS_,25.056,38.284,1200,1,256,1,1,0,32,7,1,0,0,0,38,364,,,0,1920,0,4368,1920,0,0,5861,2184,0,0,0,120
40173.703,_Z15dilateImageCUDAPhS_,25.088,38.541,1200,1,256,1,1,0,32,7,1,0,0,0,38,364,,,0,1920,0,4710,1920,0,0,5864,2355,0,0,0,120
40270.398,_Z15dilateImageCUDAPhS_,26.208,39.547,1200,1,256,1,1,0,32,7,1,0,0,0,42,368,,,0,1920,0,4998,1920,0,0,6131,2499,0,0,0,120
40369.348,_Z14erodeImageCUDAPhS_,51.648,65.067,1200,1,256,1,1,0,32,7,1,0,0,0,105,2066,,,0,4297,0,460,4297,0,0,8218,230,0,0,0,120
40544.289,_Z14erodeImageCUDAPhS_,51.424,64.449,1200,1,256,1,1,0,32,7,1,0,0,0,9,431,,,0,1988,0,14,1988,0,0,3243,7,0,0,0,120
40718.613,_Z14erodeImageCUDAPhS_,51.104,64.379,1200,1,256,1,1,0,32,7,1,0,0,0,65,1547,,,0,3520,0,312,3520,0,0,6618,156,0,0,0,120
40892.281,_Z14erodeImageCUDAPhS_,51.136,64.302,1200,1,256,1,1,0,32,7,1,0,0,0,37,779,,,0,2493,0,124,2493,0,0,4323,62,0,0,0,120
41067.191,_Z14erodeImageCUDAPhS_,50.112,63.585,1200,1,256,1,1,0,32,7,1,0,0,0,19,528,,,0,2045,0,24,2045,0,0,3548,12,0,0,0,120
41240.406,_Z14erodeImageCUDAPhS_,46.56,59.765,1200,1,256,1,1,0,32,7,1,0,0,0,71,1558,,,0,3492,0,298,3492,0,0,6678,149,0,0,0,120
41360.645,_Z29removeUnwantedNoiseHeightCUDAPhS_i,44.896,58.294,1200,1,256,1,1,0,48,8,1,0,0,0,29,1006,,,0,4420,0,3850,4420,0,0,8399,1925,0,0,0,120
41477.645,_Z28removeUnwantedNoiseWidthCUDAPhS_i,48.192,61.259,1200,1,256,1,1,0,48,7,1,0,0,0,28,1003,,,0,4640,0,3848,4640,0,0,12532,1924,0,0,0,120
41597.652,_Z29removeUnwantedNoiseHeightCUDAPhS_i,38.816,52.157,1200,1,256,1,1,0,48,8,1,0,0,0,27,984,,,0,4388,0,3840,4388,0,0,8280,1920,0,0,0,120
41708.227,_Z28removeUnwantedNoiseWidthCUDAPhS_i,44.768,57.97,1200,1,256,1,1,0,48,7,1,0,0,0,27,992,,,0,4624,0,3840,4624,0,0,12472,1920,0,0,0,120
41823.535,memcopy,59.584,125.948,,,,,,,,,,,,,,,307200,1,,,,,,,,,,,,,
